data.shape (8064, 492)
pred_SZTAXI_CopyLastSteps_2205191114 testing started Thu May 19 11:14:36 2022
TEST XS.shape YS,shape (1602, 12, 492) (1602, 12, 492)
TIMESTEP_IN, TIMESTEP_OUT 12 12
YS.shape, YS_pred.shape, (1602, 12, 492) (1602, 12, 492)
****************************************
all pred steps, CopyLastSteps, TEST, MSE, RMSE, MAE, MAPE, 52.3073007792, 7.2323786391, 5.3758888739, 50.1501500607
1 step, CopyLastSteps, TEST, MSE, RMSE, MAE, MAPE, 52.2566083610, 7.2288732428, 5.3741301584, 50.1295864582
2 step, CopyLastSteps, TEST, MSE, RMSE, MAE, MAPE, 52.2676996347, 7.2296403531, 5.3747520154, 50.1369655132
3 step, CopyLastSteps, TEST, MSE, RMSE, MAE, MAPE, 52.2744541925, 7.2301074814, 5.3748772838, 50.1386225224
4 step, CopyLastSteps, TEST, MSE, RMSE, MAE, MAPE, 52.2856699019, 7.2308830652, 5.3752415709, 50.1431822777
5 step, CopyLastSteps, TEST, MSE, RMSE, MAE, MAPE, 52.2958062080, 7.2315839349, 5.3755837407, 50.1480996609
6 step, CopyLastSteps, TEST, MSE, RMSE, MAE, MAPE, 52.2976304665, 7.2317100652, 5.3754163229, 50.1508593559
7 step, CopyLastSteps, TEST, MSE, RMSE, MAE, MAPE, 52.3094820868, 7.2325294391, 5.3757501064, 50.1525104046
8 step, CopyLastSteps, TEST, MSE, RMSE, MAE, MAPE, 52.3191262034, 7.2331961264, 5.3760996382, 50.1551747322
9 step, CopyLastSteps, TEST, MSE, RMSE, MAE, MAPE, 52.3264490795, 7.2337023079, 5.3764438561, 50.1563847065
10 step, CopyLastSteps, TEST, MSE, RMSE, MAE, MAPE, 52.3403143510, 7.2346606244, 5.3770515570, 50.1605451107
11 step, CopyLastSteps, TEST, MSE, RMSE, MAE, MAPE, 52.3553931006, 7.2357026681, 5.3777165755, 50.1656353474
12 step, CopyLastSteps, TEST, MSE, RMSE, MAE, MAPE, 52.3596946175, 7.2359999045, 5.3776270359, 50.1641392708
