DCRNN, train, Torch MSE, 5.0668861389e-01, 0.5066886139
DCRNN, train, MSE, RMSE, MAE, MAPE, 20.2873104814, 4.5041437012, 3.4300052534, 30.4255784028
DCRNN, test, Torch MSE, 5.2396775661e-01, 0.5239677566
all pred steps, DCRNN, test, MSE, RMSE, MAE, MAPE, 21.9971535641, 4.6901123189, 3.6127058823, 34.1020959279
1 step, DCRNN, test, MSE, RMSE, MAE, MAPE, 18.3473997176, 4.2833864777, 3.3400818246, 32.0669108361
2 step, DCRNN, test, MSE, RMSE, MAE, MAPE, 19.3170229254, 4.3951135282, 3.4159472677, 32.6463589089
3 step, DCRNN, test, MSE, RMSE, MAE, MAPE, 19.9555571043, 4.4671643247, 3.4638885472, 33.0089302417
4 step, DCRNN, test, MSE, RMSE, MAE, MAPE, 20.6124431133, 4.5400928529, 3.5147276184, 33.4104918707
5 step, DCRNN, test, MSE, RMSE, MAE, MAPE, 21.1605338603, 4.6000580279, 3.5573693860, 33.7548751393
6 step, DCRNN, test, MSE, RMSE, MAE, MAPE, 21.6970488802, 4.6580091112, 3.5970229770, 34.0551159320
7 step, DCRNN, test, MSE, RMSE, MAE, MAPE, 22.3055362336, 4.7228737262, 3.6401995818, 34.3431585736
8 step, DCRNN, test, MSE, RMSE, MAE, MAPE, 22.9284246253, 4.7883634600, 3.6835460175, 34.6312690398
9 step, DCRNN, test, MSE, RMSE, MAE, MAPE, 23.5442889685, 4.8522457655, 3.7254406694, 34.9213365780
10 step, DCRNN, test, MSE, RMSE, MAE, MAPE, 24.1174401692, 4.9109510453, 3.7650640764, 35.1856495099
11 step, DCRNN, test, MSE, RMSE, MAE, MAPE, 24.7093776850, 4.9708528126, 3.8052936585, 35.4628245011
12 step, DCRNN, test, MSE, RMSE, MAE, MAPE, 25.3180381605, 5.0317033061, 3.8473056036, 35.7629155167
