DCRNN, train, Torch MSE, 5.1678570223e-01, 0.5167857022
DCRNN, train, MSE, RMSE, MAE, MAPE, 20.9244859385, 4.5743290151, 3.4844328500, 30.9017027616
DCRNN, test, Torch MSE, 5.2613458175e-01, 0.5261345818
all pred steps, DCRNN, test, MSE, RMSE, MAE, MAPE, 21.6433847375, 4.6522451287, 3.5518973222, 33.6241228384
1 step, DCRNN, test, MSE, RMSE, MAE, MAPE, 17.9227037752, 4.2335214391, 3.2827466911, 31.4578600049
2 step, DCRNN, test, MSE, RMSE, MAE, MAPE, 18.7128802692, 4.3258386781, 3.3435670585, 31.9601538418
3 step, DCRNN, test, MSE, RMSE, MAE, MAPE, 19.3975024555, 4.4042595808, 3.3948802800, 32.3811528934
4 step, DCRNN, test, MSE, RMSE, MAE, MAPE, 20.0986867314, 4.4831558897, 3.4453556504, 32.7904464795
5 step, DCRNN, test, MSE, RMSE, MAE, MAPE, 20.8082802195, 4.5616093892, 3.4953532116, 33.2075431296
6 step, DCRNN, test, MSE, RMSE, MAE, MAPE, 21.4594180507, 4.6324311167, 3.5432070838, 33.6032728876
7 step, DCRNN, test, MSE, RMSE, MAE, MAPE, 22.1865266416, 4.7102575982, 3.5936540735, 33.9911620153
8 step, DCRNN, test, MSE, RMSE, MAE, MAPE, 22.8259543431, 4.7776515510, 3.6378466651, 34.3450272391
9 step, DCRNN, test, MSE, RMSE, MAE, MAPE, 23.3563488172, 4.8328406571, 3.6739305493, 34.6111451580
10 step, DCRNN, test, MSE, RMSE, MAE, MAPE, 23.8536058315, 4.8840153390, 3.7086754433, 34.8617232961
11 step, DCRNN, test, MSE, RMSE, MAE, MAPE, 24.3113120278, 4.9306502642, 3.7381633313, 35.0517391733
12 step, DCRNN, test, MSE, RMSE, MAE, MAPE, 24.8361319478, 4.9835862537, 3.7688116091, 35.2550858210
