GraphWaveNet, train, Torch MSE, 5.1815046703e-01, 0.5181504670
GraphWaveNet, train, MSE, RMSE, MAE, MAPE, 19.7889927759, 4.4484820755, 3.3769216448, 30.2932489176
GraphWaveNet, test, Torch MSE, 5.1182499688e-01, 0.5118249969
all pred steps, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 20.5445829620, 4.5326132597, 3.4854822991, 33.2670257554
1 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 17.8319952459, 4.2227947198, 3.3033809547, 31.9156502546
2 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 18.5295440394, 4.3045956883, 3.3537882318, 32.2054449629
3 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 19.1250360600, 4.3732180440, 3.3948036891, 32.5783978744
4 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 19.5844566980, 4.4254329390, 3.4272015975, 32.8375878352
5 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 19.9156774100, 4.4626984449, 3.4510742988, 33.0568049414
6 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 20.1344383030, 4.4871414400, 3.4649346451, 33.1299365513
7 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 20.5115282128, 4.5289654683, 3.4870221099, 33.2627743770
8 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 21.3050828615, 4.6157429371, 3.5451188394, 33.7726387846
9 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 21.6049084841, 4.6481080543, 3.5558259684, 33.7486213176
10 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 22.2977634400, 4.7220507664, 3.5892206216, 34.0421293545
11 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 22.7778520791, 4.7726148052, 3.6246332913, 34.3567285508
12 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 22.9522660075, 4.7908523258, 3.6310346928, 34.3145173853
