data.shape (8064, 492)
pred_SZTAXI_HistoricalAverage_2205191112 testing started Thu May 19 11:12:51 2022
TIMESTEP_IN, TIMESTEP_OUT 12 12
YS.shape, YS_pred.shape, (1602, 12, 492) (1602, 12, 492)
****************************************
all pred steps, HistoricalAverage, TEST, MSE, RMSE, MAE, MAPE, 33.8993059064, 5.8223110451, 4.3445726543, 41.0988092422
1 step, HistoricalAverage, TEST, MSE, RMSE, MAE, MAPE, 34.2052726771, 5.8485273939, 4.3600589410, 41.2430584431
2 step, HistoricalAverage, TEST, MSE, RMSE, MAE, MAPE, 34.1384484335, 5.8428116890, 4.3568237778, 41.2147939205
3 step, HistoricalAverage, TEST, MSE, RMSE, MAE, MAPE, 34.0559689848, 5.8357492222, 4.3532820833, 41.1837875843
4 step, HistoricalAverage, TEST, MSE, RMSE, MAE, MAPE, 33.9951829299, 5.8305388199, 4.3502843587, 41.1576807499
5 step, HistoricalAverage, TEST, MSE, RMSE, MAE, MAPE, 33.9330690040, 5.8252097820, 4.3470120362, 41.1264657974
6 step, HistoricalAverage, TEST, MSE, RMSE, MAE, MAPE, 33.8929740016, 5.8217672576, 4.3446116570, 41.1016255617
7 step, HistoricalAverage, TEST, MSE, RMSE, MAE, MAPE, 33.8412416817, 5.8173225527, 4.3418139882, 41.0739600658
8 step, HistoricalAverage, TEST, MSE, RMSE, MAE, MAPE, 33.8127593252, 5.8148739733, 4.3401552776, 41.0590469837
9 step, HistoricalAverage, TEST, MSE, RMSE, MAE, MAPE, 33.7714768222, 5.8113231559, 4.3377275646, 41.0335898399
10 step, HistoricalAverage, TEST, MSE, RMSE, MAE, MAPE, 33.7379766544, 5.8084401223, 4.3356933180, 41.0103887320
11 step, HistoricalAverage, TEST, MSE, RMSE, MAE, MAPE, 33.7110761733, 5.8061240232, 4.3341794664, 40.9969389439
12 step, HistoricalAverage, TEST, MSE, RMSE, MAE, MAPE, 33.6926755942, 5.8045392232, 4.3330380591, 40.9826904535
