../SZTAXI/SZTAXI-speed.pkl
data.shape (8064, 492)
pred_SZTAXI_CopyLastSteps_2205311219 testing started Tue May 31 12:19:31 2022
TEST XS.shape YS,shape (1602, 12, 492) (1602, 12, 492)
TIMESTEP_IN, TIMESTEP_OUT 12 12
YS.shape, YS_pred.shape, (1602, 12, 492) (1602, 12, 492)
****************************************
all pred steps, CopyLastSteps, TEST, MSE, RMSE, MAE, MAPE, 86.5090233615, 9.3010227051, 6.5052216481, 30.6515395641
1 step, CopyLastSteps, TEST, MSE, RMSE, MAE, MAPE, 86.4771086521, 9.2993068910, 6.5051729422, 30.6653559208
2 step, CopyLastSteps, TEST, MSE, RMSE, MAE, MAPE, 86.4717358200, 9.2990180030, 6.5048838739, 30.6557238102
3 step, CopyLastSteps, TEST, MSE, RMSE, MAE, MAPE, 86.4663276676, 9.2987272069, 6.5045791274, 30.6492567062
4 step, CopyLastSteps, TEST, MSE, RMSE, MAE, MAPE, 86.4592121040, 9.2983445894, 6.5039977423, 30.6532919407
5 step, CopyLastSteps, TEST, MSE, RMSE, MAE, MAPE, 86.4897071310, 9.2999842543, 6.5047243031, 30.6579679251
6 step, CopyLastSteps, TEST, MSE, RMSE, MAE, MAPE, 86.5087331053, 9.3010071017, 6.5053632826, 30.6553632021
7 step, CopyLastSteps, TEST, MSE, RMSE, MAE, MAPE, 86.5207731396, 9.3016543227, 6.5054655950, 30.6550562382
8 step, CopyLastSteps, TEST, MSE, RMSE, MAE, MAPE, 86.5454246341, 9.3029793418, 6.5061500162, 30.6584119797
9 step, CopyLastSteps, TEST, MSE, RMSE, MAE, MAPE, 86.5391632088, 9.3026428078, 6.5057617951, 30.6512892246
10 step, CopyLastSteps, TEST, MSE, RMSE, MAE, MAPE, 86.5414928560, 9.3027680212, 6.5056800532, 30.6446939707
11 step, CopyLastSteps, TEST, MSE, RMSE, MAE, MAPE, 86.5461425184, 9.3030179253, 6.5056375181, 30.6394934654
12 step, CopyLastSteps, TEST, MSE, RMSE, MAE, MAPE, 86.5424594979, 9.3028199756, 6.5052435281, 30.6326478720
