../SZTAXI/SZTAXI-speed.pkl
data.shape (8064, 492)
pred_SZTAXI_HistoricalAverage_2205311220 testing started Tue May 31 12:20:11 2022
TIMESTEP_IN, TIMESTEP_OUT 12 12
YS.shape, YS_pred.shape, (1602, 12, 492) (1602, 12, 492)
****************************************
all pred steps, HistoricalAverage, TEST, MSE, RMSE, MAE, MAPE, 53.7095353187, 7.3286789614, 5.2776385677, 26.0728269815
1 step, HistoricalAverage, TEST, MSE, RMSE, MAE, MAPE, 53.7224702033, 7.3295613923, 5.2803080441, 26.0842531919
2 step, HistoricalAverage, TEST, MSE, RMSE, MAE, MAPE, 53.7084301417, 7.3286035601, 5.2796158454, 26.0750591755
3 step, HistoricalAverage, TEST, MSE, RMSE, MAE, MAPE, 53.7061865194, 7.3284504856, 5.2793534396, 26.0730773211
4 step, HistoricalAverage, TEST, MSE, RMSE, MAE, MAPE, 53.7029809385, 7.3282317743, 5.2789138747, 26.0800391436
5 step, HistoricalAverage, TEST, MSE, RMSE, MAE, MAPE, 53.7206066929, 7.3294342683, 5.2792552556, 26.0845810175
6 step, HistoricalAverage, TEST, MSE, RMSE, MAE, MAPE, 53.7405998013, 7.3307980330, 5.2798322947, 26.0835677385
7 step, HistoricalAverage, TEST, MSE, RMSE, MAE, MAPE, 53.7413969627, 7.3308524036, 5.2792994910, 26.0828167200
8 step, HistoricalAverage, TEST, MSE, RMSE, MAE, MAPE, 53.7445168385, 7.3310651913, 5.2789151098, 26.0834306479
9 step, HistoricalAverage, TEST, MSE, RMSE, MAE, MAPE, 53.7219973106, 7.3295291329, 5.2773445759, 26.0740339756
10 step, HistoricalAverage, TEST, MSE, RMSE, MAE, MAPE, 53.6958911736, 7.3277480288, 5.2750591835, 26.0625541210
11 step, HistoricalAverage, TEST, MSE, RMSE, MAE, MAPE, 53.6627300412, 7.3254849697, 5.2724595469, 26.0496079922
12 step, HistoricalAverage, TEST, MSE, RMSE, MAE, MAPE, 53.6466172004, 7.3243851073, 5.2713061512, 26.0410070419
